Heading Number	Heading	URL	Citation Number	Code	Citation	Abbreviation	Access Point Use	Notes
194	Viotti, Giovanni Battista, 1755-1824	https://cmc.wp.musiclibraryassoc.org/thematic-index/viotti-giovanni-battista-1755-1824/	2	<b>Giazotto1956</b>	Giazotto, Remo. <em>Giovan Battista Viotti.</em> Milan: Edizioni Curci, 1956.	G.	Variant access points only.	Thematic index on p. 289-386
195	Vivaldi, Antonio, 1678-1741	https://cmc.wp.musiclibraryassoc.org/thematic-index/vivaldi-antonio-1678-1741/	1	<b>Ryom</b>	Ryom, Peter. <em>Antonio Vivaldi: Thematische-systematisches Verzeichnis seiner Werke (RV).</em> Wiesbaden: Brietkopf & Härtel, 2007.	RV (n 79021280)	Authorized or variant access points; Works which are labeled as opus numbers 1, 2, 5, 6, 7, 10, 11, and 12 do not use Ryom numbers in authorized access points.	Updated from the 1986 edition.
195	Vivaldi, Antonio, 1678-1741	https://cmc.wp.musiclibraryassoc.org/thematic-index/vivaldi-antonio-1678-1741/	2	<b>Fanna</b>	<em>Opere strumentali di Antonio Vivaldi (1678-1741): Catalogo numerico-tematico secondo la catalogazione Fanna. 2a edizione riveduta e ampliata. Istituto italiano Antonio Vivaldi. Milan: Ricordi, 1986.</em>	F.	Variant access points only.	Concordance in Ryom.
195	Vivaldi, Antonio, 1678-1741	https://cmc.wp.musiclibraryassoc.org/thematic-index/vivaldi-antonio-1678-1741/	3	<b>Pincherle</b>	Pincherle, Marc. <em>Antonio Vivaldi et la musique instrumentale.</em> Paris: Librairie Floury, 1948. Reprint, New York: Johnson Reprint Corp., 1968.	P.	Variant access points only.	Concordance in Ryom; v. 1-2 bound together in reprint edition; thematic index in v. 2.
195	Vivaldi, Antonio, 1678-1741	https://cmc.wp.musiclibraryassoc.org/thematic-index/vivaldi-antonio-1678-1741/	4	<b>Rinaldi</b>	Rinaldi, Mario. <em>Catalogo numerico tematico delle composizioni di Antonio Vivaldi: Con la definizione delle tonalità l'indicazione dei movimenti e varie tabelle illustrative.</em> Rome: Editrice Cultura Moderna, 1945.	R.	Variant access points only.	
196	Vogler, Georg Joseph, 1749-1814	https://cmc.wp.musiclibraryassoc.org/thematic-index/vogler-georg-joseph-1749-1814/	1	<b>Schafhäutl</b>	Schafhäutl, Karl Emil von. <em>Abt Georg Joseph Vogler: Sein Leben, Charakter, und musikalisches System, seine Werke, seine Schule, Bildnisse &amp;c.</em> Augsburg, M. Huttler, 1888. Reprint, Hildesheim: Georg Olms, 1979.	S. (n 82217198)	Authorized or variant access points.	Thematic index on p. 245-281.
197	Wagenseil, Georg Christoph, 1715-1777	https://cmc.wp.musiclibraryassoc.org/thematic-index/wagenseil-georg-christoph-1715-1777/	1	<b>Michelitsch</b>	Michelitsch, Helga. <em>Das Klavierwerk von Georg Christoph Wagenseil: Thematischer Katalog.</em> Tabulae musicae Austriacae, Bd. 3. Vienna: Hermann Böhlaus Nachf., 1966.	WV (n 80106847)	For keyboard music; use in authorized or variant access points.	
197	Wagenseil, Georg Christoph, 1715-1777	https://cmc.wp.musiclibraryassoc.org/thematic-index/wagenseil-georg-christoph-1715-1777/	2	<b>Scholz</b>	Scholz-Michelitsch, Helga. <em>Das Orchester- und Kammermusikwerk von Georg Christoph Wagenseil: Thematischer Katalog.</em> Tabulae musicae Austriacae, Bd. 6. Vienna: Hermann Böhlaus Nachf., 1972.	WV (n 80106847)	For orchestral and chamber music; use in authorized or variant access points.	
198	Wagner, Richard, 1813-1883	https://cmc.wp.musiclibraryassoc.org/thematic-index/wagner-richard-1813-1883/	1	<b>Deathridge</b>	Deathridge, John, Martin Geck, and Egon Voss. <em>Wagner Werk-Verzeichnis (WWV): Verzeichnis der musikalischen Werke Richard Wagners und ihre Quellen.</em> Mainz: Schott, 1986.	WWV (n 79089831)	For works without opus numbers; use in authorized or variant access points.	
199	Walter, Johann, 1496-1570	https://cmc.wp.musiclibraryassoc.org/thematic-index/walter-johann-1496-1570/	1	<b>Leaver</b>	Leaver, Robin A. "Johann Walter Werke Verzeichnis [JWWV]." <em>Fontes artis musicae</em> 66, no. 1 (January-March 2019): 1-25.	JWWV	Variant access points only.	
200	Walther, Johann Gottfried, 1684-1748	https://cmc.wp.musiclibraryassoc.org/thematic-index/walther-johann-gottfried-1684-1748/	1	<b>Seiffert1958</b>	Walther, Johann Gottfried. <em>Gesammelte Werke für Orgel,</em> ed. Max Seiffert, Hans Joachim Moser. Denkmäler deutscher Tonkunst, Bd. 26-27. Wiesbaden: Breitkopf & Härtel, 1958.	S.	For organ works; use in authorized or variant access points.	
201	Ward, John, 1571-1638	https://cmc.wp.musiclibraryassoc.org/thematic-index/ward-john-1571-1638/	1	<b>MB67</b>	Ward, John. <em>Consort Music of Five and Six Parts.</em> Transcribed and edited by Ian Payne. Musica Britannica, 67. London: Stainer and Bell, 1995.	MB LXVII (n 88648771)	For 5 and 6 part instrumental works; use in authorized or variant access points.	Use the caption numbers that correspond to the Viola da Gamba Society (VdGS) number.
201	Ward, John, 1571-1638	https://cmc.wp.musiclibraryassoc.org/thematic-index/ward-john-1571-1638/	2	<b>MB83</b>	Ward, John. <em>Consort Music of Four Parts.</em> Transcribed and edited by Ian Payne. Musica Britannica, 83. London: Stainer and Bell, 2005.	MB LXXXIII (n 88648771)	For 4 part instrumental works; use in authorized or variant access points.	Use the caption numbers that correspond to the Viola da Gamba Society (VdGS) number.
202	Weber, Carl Maria von, 1786-1826	https://cmc.wp.musiclibraryassoc.org/thematic-index/weber-carl-maria-von-1786-1826/	1	<b>Jähns</b>	Jähns, Friedr. Wilh. <em>Carl Maria von Weber in seinen Werken: Chronologisch-thematisches Verzeichniss seiner sämmtlichen Compositionen.</em> Unveränderte Neuauflage. Berlin: Schlesinger, 1871. Reprint, Berlin-Lichterfelde: Robert Lienau, 1967.	J. (n 79110317)	For works without opus no.; use in authorized or variant access points.	
203	Weiss, Silvius Leopold, 1687-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/weiss-silvius-leopold-1687-1750/	1	<b>Klima</b>	Klima, Josef. <em>Silvius Leopold Weiß, 1686-1750: Kompositionen für dei Laute: Quellen- und Themenverzeichnis.</em> Vienna: Wiener Lautenarchiv, 1975.	K. (n 82162679)	Authorized or variant access points.	
203	Weiss, Silvius Leopold, 1687-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/weiss-silvius-leopold-1687-1750/	2	<b>Smith</b>	Smith, Douglas Alton "The Late Sonatas of Silvius Leopold Weiss." Ph.D. diss., Stanford University, 1977.	S.	For lute sonatas; use in variant access points only.	Thematic index on leaves 123-270. Includes concordances.
203	Weiss, Silvius Leopold, 1687-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/weiss-silvius-leopold-1687-1750/	3	<b>Weiss1983</b>	Weiss, Silvius Leopold. <em>Sämtliche Werke für Laute.</em> (Complete works for lute). Bd. 1-4. Edited by Douglas Alton Smith. Frankfurt: C.F. Peters, 1983-90.	SC	For lute sonatas; use in variant access points only.	
203	Weiss, Silvius Leopold, 1687-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/weiss-silvius-leopold-1687-1750/	4	<b>Weiss2002</b>	Weiss, Silvius Leopold. <em>Sämtliche Werke für Laute.</em> (Complete works for lute). Bd. 5-10. Edited by Tim Crawford. Das Erbe deutscher Musik. Sonderreihe, Bd. 11-16. Basel: Bärenreiter, 2002-.	SC	For lute sonatas; use in variant access points only.	
204	Wesley, Samuel, 1766-1837	https://cmc.wp.musiclibraryassoc.org/thematic-index/wesley-samuel-1766-1837/	1	<b>Kassler</b>	Kassler, Michael and Phillip Olleson. <em>Samuel Wesley (1766-1837): A Source Book.</em> Aldershot, England: Ashgate, 2001.	KO (n 81017340)	Authorized or variant access points.	Thematic index on p. 573-676.
205	Weyse, Christoph Ernst Friedrich, 1774-1842	https://cmc.wp.musiclibraryassoc.org/thematic-index/weyse-christoph-ernst-friedrich-1774-1842/	1	<b>Hatting3</b>	Hatting, Carsten E., Niels Krabbe, and Nanna Schiødt, eds. <em>The Symphony in Denmark.</em> The Symphony, 1720-1840, ser. F, vol. 6. New York: Garland, 1983.	no. (n 82159253)	For symphonies; use in authorized or variant access points.	Thematic index on p. xli-xliii.
206	Willan, Healey, 1880-1968	https://cmc.wp.musiclibraryassoc.org/thematic-index/willan-healey-1880-1968/	1	<b>Bryant</b>	Bryant, Giles. <em>Healey Willan catalogue.</em> Ottawa: National Library of Canada, 1972.	B. (n 79122077)	Authorized or variant access points.	Listed as opus numbers in the New Grove. Numbers are assigned by Bryant, not Willan, and not designated as “opus” in the index itself.
207	Zach, Jan, 1699-1773	https://cmc.wp.musiclibraryassoc.org/thematic-index/zach-jan-1699-1773/	1	<b>Komma</b>	Komma, Karl Michael. <em>Johann Zach und die tschechischen Musiker im deutschen Umbruch des 18. Jahrhunderts.</em> Kassel: Bärenreiter, 1938.	K	Authorized or variant access points.	
207	Zach, Jan, 1699-1773	https://cmc.wp.musiclibraryassoc.org/thematic-index/zach-jan-1699-1773/	2	<b>Gottron</b>	Gottron, Adam and Walter Senn. "Johann Zach, Kurmainzer Hofkapellmeister: Nachträge und Ergänzungen zum thematischen Verzeichnis seiner Kompositionen." <em>Mainzer Zeitschrift</em> 50 (1955): 81-94.	GS	For works not included in Komma; use in authorized or variant access points.	
208	Zelenka, Johann Dismas, 1679-1745	https://cmc.wp.musiclibraryassoc.org/thematic-index/zelenka-johann-dismas-1679-1745/	1	<b>Reich</b>	Reich, Wolfgang. <em>Jan Dismas Zelenka: Thematisch-systematisches Verzeichnis der musikalischen Werke (ZWV).</em> Studien und Materialien zur Musikgeschichte Dresdens, Heft 6. Dresden: Sächsische Landesbibliothek, 1985.	ZWV (n 82045392)	Authorized or variant access points.	The index is in 2 volumes; one with musical incipits and the other with text.
209	Zimmermann, Anton, 1741-1781	https://cmc.wp.musiclibraryassoc.org/thematic-index/zimmermann-anton-1741-1781/	1	<b>Múdra</b>	Múdra, Darina. <em>Anton Zimmermann (1741-1781) und die europäische musikalische Klassik.</em> Translated from Slovakian by Ute Kurdelova. Schriftenreihe der Slowakischen Akademie der Wissenschaften, Bd. 3. Frankfurt: P. Lang, 2006.	AZ (n 84089526)	Authorized or variant access points.	
